2025-01-09 06:19:49 INFO  [pool-2-thread-6] org.example.controllers.InventoryController - Sending response with status 200 and body: {"stockId":4,"productName":"Kevlar Vest","productType":"Gear","currentStatus":"Assigned","armoryLocation":"Main Armory 3","isCurrentlyAssigned":"Yes","assignedTo":"John Doe","assignmentDate":"2025-01-09 03:21:09"}
2025-01-09 06:19:49 INFO  [pool-2-thread-6] org.example.controllers.InventoryController - Response sent successfully
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.controllers.InventoryController - Received request to fetch item details
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.controllers.InventoryController - Fetching details for stock ID: 5
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.services.InventoryService - Fetching item details from repository for stock ID: 5
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.repositories.InventoryRepository - Fetching item details for stock ID: 5
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.db.DatabaseConnection - Attempting to establish the DB
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.db.DatabaseConnection - Database connection established successfully.
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.repositories.InventoryRepository - Successfully retrieved item details for stock ID: 5
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.services.InventoryService - Successfully fetched item details for stock ID: 5
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.controllers.InventoryController - Sending response with status 200 and body: {"stockId":5,"productName":"M16 Rifle","productType":"Weapon","currentStatus":"Assigned","armoryLocation":"Main Armory 1","isCurrentlyAssigned":"No"}
2025-01-09 06:19:51 INFO  [pool-2-thread-7] org.example.controllers.InventoryController - Response sent successfully
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.controllers.InventoryController - Received request to fetch item details
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.controllers.InventoryController - Fetching details for stock ID: 5
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.services.InventoryService - Fetching item details from repository for stock ID: 5
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.repositories.InventoryRepository - Fetching item details for stock ID: 5
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.db.DatabaseConnection - Attempting to establish the DB
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.db.DatabaseConnection - Database connection established successfully.
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.repositories.InventoryRepository - Successfully retrieved item details for stock ID: 5
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.services.InventoryService - Successfully fetched item details for stock ID: 5
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.controllers.InventoryController - Sending response with status 200 and body: {"stockId":5,"productName":"M16 Rifle","productType":"Weapon","currentStatus":"Assigned","armoryLocation":"Main Armory 1","isCurrentlyAssigned":"No"}
2025-01-09 06:27:55 INFO  [pool-2-thread-9] org.example.controllers.InventoryController - Response sent successfully
